tid,pid,parent_pid,module_name,event,stage,level,start_end,custom_info,memory_usage(kB),time_stamp(us)
140375784126016,2493488,2478644,Runtime,DeviceInit,DeviceInit,1,0,,2414468,1724861689218598
140375784126016,2493488,2478644,Runtime,DeviceInit,DeviceInit,1,1,,2414468,1724861689218885
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,2424532,1724861689269723
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,2424644,1724861689270049
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,2424908,1724861689271264
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,2424908,1724861689271402
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,3046080,1724861689719026
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,3046120,1724861689719361
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,3046120,1724861689720466
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,3046120,1724861689720619
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,3046216,1724861689723074
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,3046216,1724861689723392
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,3046220,1724861689725122
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,3046220,1724861689725267
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,3067904,1724861689755147
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,3067904,1724861689755359
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,3067904,1724861689757297
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,3067904,1724861689757449
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,3067904,1724861689758916
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,3067904,1724861689759080
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,3067904,1724861689760323
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,3067904,1724861689760465
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,3067904,1724861689762963
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,3067904,1724861689763129
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,3067908,1724861689764693
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,3067908,1724861689764845
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,3067908,1724861689766783
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,3067908,1724861689766939
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,3067908,1724861689768291
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,3067908,1724861689768434
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,3067908,1724861689769850
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,3067908,1724861689770009
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,3067908,1724861689771283
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,3067908,1724861689771506
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,3071708,1724861689777653
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,3071708,1724861689777812
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,3071708,1724861689779274
140375784126016,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,3071808,1724861689779537
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,0,,3072460,1724861689945063
140376144078656,2493488,2478644,GPU,OptimizeGraph,SetKernelInfo,1,1,,3072460,1724861689945350
